brand,nama_artikel,sku_induk,ukuran,sku_turunan,ongkos_produksi_modal_diferd,harga_tagih_tm420
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,S,TSDL-LGLZMRJN-S,78000,83000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,M,TSDL-LGLZMRJN-M,78000,83000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,L,TSDL-LGLZMRJN-L,78000,83000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,XL,TSDL-LGLZMRJN-XL,78000,83000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,XXL,TSDL-LGLZMRJN-XXL,83000,88000
TM420,"Legalized Maryjane Misty",TS-LGLZMRJN,S,TS-LGLZMRJN-S,62000,67000
TM420,"Legalized Maryjane Misty",TS-LGLZMRJN,M,TS-LGLZMRJN-M,62000,67000
TM420,"Legalized Maryjane Misty",TS-LGLZMRJN,L,TS-LGLZMRJN-L,62000,67000
TM420,"Legalized Maryjane Misty",TS-LGLZMRJN,XL,TS-LGLZMRJN-XL,62000,67000
TM420,"Legalized Maryjane Misty",TS-LGLZMRJN,XXL,TS-LGLZMRJN-XXL,67000,72000
TM420,"Let's Grow",TS-LETSGROW,S,TS-LETSGROW-S,62000,67000
TM420,"Let's Grow",TS-LETSGROW,M,TS-LETSGROW-M,62000,67000
TM420,"Let's Grow",TS-LETSGROW,L,TS-LETSGROW-L,62000,67000
TM420,"Let's Grow",TS-LETSGROW,XL,TS-LETSGROW-XL,62000,67000
TM420,"Let's Grow",TS-LETSGROW,XXL,TS-LETSGROW-XXL,67000,72000
TM420,Mandala,TS-MANDALA,S,TS-MANDALA-S,62000,67000
TM420,Mandala,TS-MANDALA,M,TS-MANDALA-M,62000,67000
TM420,Mandala,TS-MANDALA,L,TS-MANDALA-L,62000,67000
TM420,Mandala,TS-MANDALA,XL,TS-MANDALA-XL,62000,67000
TM420,Mandala,TS-MANDALA,XXL,TS-MANDALA-XXL,67000,72000
TM420,"Marley Grey",TS-MARGREY,S,TS-MARGREY-S,62000,67000
TM420,"Marley Grey",TS-MARGREY,M,TS-MARGREY-M,62000,67000
TM420,"Marley Grey",TS-MARGREY,L,TS-MARGREY-L,62000,67000
TM420,"Marley Grey",TS-MARGREY,XL,TS-MARGREY-XL,62000,67000
TM420,"Marley Grey",TS-MARGREY,XXL,TS-MARGREY-XXL,67000,72000
TM420,"Marley Raglan",TS-RAGBOB,S,TS-RAGBOB-S,62000,67000
TM420,"Marley Raglan",TS-RAGBOB,M,TS-RAGBOB-M,62000,67000
TM420,"Marley Raglan",TS-RAGBOB,L,TS-RAGBOB-L,62000,67000
TM420,"Marley Raglan",TS-RAGBOB,XL,TS-RAGBOB-XL,62000,67000
TM420,"Marley Raglan",TS-RAGBOB,XXL,TS-RAGBOB-XXL,67000,72000
TM420,"Organic Black",TS-ORGANIC-BLACK,S,TS-ORGANIC-BLACK-S,62000,67000
TM420,"Organic Black",TS-ORGANIC-BLACK,M,TS-ORGANIC-BLACK-M,62000,67000
TM420,"Organic Black",TS-ORGANIC-BLACK,L,TS-ORGANIC-BLACK-L,62000,67000
TM420,"Organic Black",TS-ORGANIC-BLACK,XL,TS-ORGANIC-BLACK-XL,62000,67000
TM420,"Organic Black",TS-ORGANIC-BLACK,XXL,TS-ORGANIC-BLACK-XXL,67000,72000
TM420,"Organic Green",TS-ORGANIC-GREEN,S,TS-ORGANIC-GREEN-S,62000,67000
TM420,"Organic Green",TS-ORGANIC-GREEN,M,TS-ORGANIC-GREEN-M,62000,67000
TM420,"Organic Green",TS-ORGANIC-GREEN,L,TS-ORGANIC-GREEN-L,62000,67000
TM420,"Organic Green",TS-ORGANIC-GREEN,XL,TS-ORGANIC-GREEN-XL,62000,67000
TM420,"Organic Green",TS-ORGANIC-GREEN,XXL,TS-ORGANIC-GREEN-XXL,67000,72000
TM420,"Peace Of God",TS-POG,S,TS-POG-S,73000,78000
TM420,"Peace Of God",TS-POG,M,TS-POG-M,73000,78000
TM420,"Peace Of God",TS-POG,L,TS-POG-L,73000,78000
TM420,"Peace Of God",TS-POG,XL,TS-POG-XL,73000,78000
TM420,"Peace Of God",TS-POG,XXL,TS-POG-XXL,78000,83000
TM420,"Relax Oversized",TSOV-RELAX,S,TSOV-RELAX-S,70000,80000
TM420,"Relax Oversized",TSOV-RELAX,M,TSOV-RELAX-M,70000,80000
TM420,"Relax Oversized",TSOV-RELAX,L,TSOV-RELAX-L,70000,80000
TM420,"Relax Oversized",TSOV-RELAX,XL,TSOV-RELAX-XL,70000,80000
TM420,"Relax Oversized",TSOV-RELAX,XXL,TSOV-RELAX-XXL,75000,85000
TM420,"Smile Leaf",TSDL-SOL,S,TSDL-SOL-S,78000,83000
TM420,"Smile Leaf",TSDL-SOL,M,TSDL-SOL-M,78000,83000
TM420,"Smile Leaf",TSDL-SOL,L,TSDL-SOL-L,78000,83000
TM420,"Smile Leaf",TSDL-SOL,XL,TSDL-SOL-XL,78000,83000
TM420,"Smile Leaf",TSDL-SOL,XXL,TSDL-SOL-XXL,83000,88000
TM420,Smiley,TS-SMILEY,S,TS-SMILEY-S,62000,67000
TM420,Smiley,TS-SMILEY,M,TS-SMILEY-M,62000,67000
TM420,Smiley,TS-SMILEY,L,TS-SMILEY-L,62000,67000
TM420,Smiley,TS-SMILEY,XL,TS-SMILEY-XL,62000,67000
TM420,Smiley,TS-SMILEY,XXL,TS-SMILEY-XXL,67000,72000
TM420,"Stoned Icon",TS-STONEDICONS,S,TS-STONEDICONS-S,62000,67000
TM420,"Stoned Icon",TS-STONEDICONS,M,TS-STONEDICONS-M,62000,67000
TM420,"Stoned Icon",TS-STONEDICONS,L,TS-STONEDICONS-L,62000,67000
TM420,"Stoned Icon",TS-STONEDICONS,XL,TS-STONEDICONS-XL,62000,67000
TM420,"Stoned Icon",TS-STONEDICONS,XXL,TS-STONEDICONS-XXL,67000,72000
TM420,"Teach Peace",HOOD-TEACHPEACE,S,HOOD-TEACHPEACE-S,175000,185000
TM420,"Teach Peace",HOOD-TEACHPEACE,M,HOOD-TEACHPEACE-M,175000,185000
TM420,"Teach Peace",HOOD-TEACHPEACE,L,HOOD-TEACHPEACE-L,175000,185000
TM420,"Teach Peace",HOOD-TEACHPEACE,XL,HOOD-TEACHPEACE-XL,175000,185000
TM420,"Teach Peace",HOOD-TEACHPEACE,XXL,HOOD-TEACHPEACE-XXL,180000,190000
TM420,"Tropical Vibes",TS-TROVIB,S,TS-TROVIB-S,62000,67000
TM420,"Tropical Vibes",TS-TROVIB,M,TS-TROVIB-M,62000,67000
TM420,"Tropical Vibes",TS-TROVIB,L,TS-TROVIB-L,62000,67000
TM420,"Tropical Vibes",TS-TROVIB,XL,TS-TROVIB-XL,62000,67000
TM420,"Tropical Vibes",TS-TROVIB,XXL,TS-TROVIB-XXL,67000,72000
TM420,YinYang,TSLS-YINYANG,S,TSLS-YINYANG-S,73000,78000
TM420,YinYang,TSLS-YINYANG,M,TSLS-YINYANG-M,73000,78000
TM420,YinYang,TSLS-YINYANG,L,TSLS-YINYANG-L,73000,78000
TM420,YinYang,TSLS-YINYANG,XL,TSLS-YINYANG-XL,73000,78000
TM420,YinYang,TSLS-YINYANG,XXL,TSLS-YINYANG-XXL,78000,83000
VOOJAH,"420F Grey Oversize Boxy",420-GRE-OVE-BOX,S,420-GRE-OVE-BOX-S,70000,80000
VOOJAH,"420F Grey Oversize Boxy",420-GRE-OVE-BOX,M,420-GRE-OVE-BOX-M,70000,80000
VOOJAH,"420F Grey Oversize Boxy",420-GRE-OVE-BOX,L,420-GRE-OVE-BOX-L,70000,80000
VOOJAH,"420F Grey Oversize Boxy",420-GRE-OVE-BOX,XL,420-GRE-OVE-BOX-XL,70000,80000
VOOJAH,"420F Grey Oversize Boxy",420-GRE-OVE-BOX,XXL,420-GRE-OVE-BOX-XXL,75000,85000
VOOJAH,"420F Navy Oversize Boxy",420-NAV-BRI-OVE-BOC,S,420-NAV-BRI-OVE-BOC-S,70000,80000
VOOJAH,"420F Navy Oversize Boxy",420-NAV-BRI-OVE-BOC,M,420-NAV-BRI-OVE-BOC-M,70000,80000
